trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1203,False,"{'a': 0.002, 'e': 0.0903558062531899}",20,10,21.16065643992457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1204,False,"{'a': 0.002, 'e': 0.0901752752318818}",20,0,31.957786444931976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1205,False,"{'a': 0.002, 'e': 0.08999510491179491}",25,10,26.21540239562468,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1206,False,"{'a': 0.002, 'e': 0.08981529457224763}",20,0,26.177594683465436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1207,False,"{'a': 0.002, 'e': 0.08963584349399842}",25,20,11.007378298422978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1208,False,"{'a': 0.002, 'e': 0.08945675095924267}",35,24,17.394767341058706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1209,False,"{'a': 0.002, 'e': 0.08927801625161007}",20,11,11.500933410703071,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1210,False,"{'a': 0.002, 'e': 0.08909963865616147}",30,22,13.514993932084373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1211,False,"{'a': 0.002, 'e': 0.08892161745938634}",20,10,-19.66744704859955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1212,False,"{'a': 0.002, 'e': 0.08874395194919957}",20,0,22.468742004568867,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1213,False,"{'a': 0.002, 'e': 0.08856664141493896}",20,2,9.706491356434823,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1214,False,"{'a': 0.002, 'e': 0.08838968514736205}",25,0,39.30595620602527,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1215,False,"{'a': 0.002, 'e': 0.08821308243864363}",25,19,12.969371321396393,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1216,False,"{'a': 0.002, 'e': 0.08803683258237255}",20,11,2.1832825948769763,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1217,False,"{'a': 0.002, 'e': 0.0878609348735492}",20,5,-35.40420076691201,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
1218,False,"{'a': 0.002, 'e': 0.08768538860858248}",25,0,37.17520001066651,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1219,False,"{'a': 0.002, 'e': 0.08751019308528712}",25,11,11.2089835708435,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1220,False,"{'a': 0.002, 'e': 0.08733534760288077}",20,11,18.272712903876496,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1221,False,"{'a': 0.002, 'e': 0.0871608514619813}",20,16,7.632717164363309,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1222,False,"{'a': 0.002, 'e': 0.08698670396460385}",30,8,17.541962366500634,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
1223,False,"{'a': 0.002, 'e': 0.08681290441415829}",20,15,7.748707613198013,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1224,False,"{'a': 0.002, 'e': 0.0866394521154461}",30,20,17.85810637688295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1225,False,"{'a': 0.002, 'e': 0.08646634637465792}",25,13,20.620303607557226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1226,False,"{'a': 0.002, 'e': 0.0862935864993705}",20,0,31.438111227876195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1227,False,"{'a': 0.002, 'e': 0.08612117179854416}",20,0,29.223477145987186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1228,False,"{'a': 0.002, 'e': 0.08594910158251981}",30,16,28.922454457133306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1229,False,"{'a': 0.002, 'e': 0.08577737516301644}",30,18,17.399116084695073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1230,False,"{'a': 0.002, 'e': 0.08560599185312803}",20,4,19.886356138361123,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1231,False,"{'a': 0.002, 'e': 0.08543495096732123}",20,4,24.22974260103831,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1232,False,"{'a': 0.002, 'e': 0.08526425182143217}",25,6,32.058090898550134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1233,False,"{'a': 0.002, 'e': 0.08509389373266411}",25,12,23.306456219865794,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1234,False,"{'a': 0.002, 'e': 0.08492387601958441}",25,16,5.7250596116991925,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1235,False,"{'a': 0.002, 'e': 0.08475419800212207}",20,12,8.78802174153019,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1236,False,"{'a': 0.002, 'e': 0.08458485900156469}",25,13,20.73784206710986,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1237,False,"{'a': 0.002, 'e': 0.08441585834055614}",25,8,14.56928925498029,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1238,False,"{'a': 0.002, 'e': 0.08424719534309347}",35,13,36.721578115946386,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1239,False,"{'a': 0.002, 'e': 0.08407886933452453}",20,2,26.870340952134327,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1240,False,"{'a': 0.002, 'e': 0.083910879641545}",25,18,13.576761305056204,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1241,False,"{'a': 0.002, 'e': 0.08374322559219596}",25,8,34.273134864961825,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1242,False,"{'a': 0.002, 'e': 0.0835759065158609}",25,12,23.620772388795658,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1243,False,"{'a': 0.002, 'e': 0.08340892174326339}",35,0,37.21417623445236,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
1244,False,"{'a': 0.002, 'e': 0.08324227060646401}",35,27,15.393289856987625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1245,False,"{'a': 0.002, 'e': 0.0830759524388581}",25,10,16.80531826058336,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1246,False,"{'a': 0.002, 'e': 0.08290996657517266}",20,2,19.14293154507587,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1247,False,"{'a': 0.002, 'e': 0.08274431235146412}",25,0,28.246162943033884,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
1248,False,"{'a': 0.002, 'e': 0.08257898910511527}",25,12,22.48502789549327,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1249,False,"{'a': 0.002, 'e': 0.08241399617483297}",30,19,22.9046201427848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1250,False,"{'a': 0.002, 'e': 0.08224933290064523}",20,12,12.467014711290789,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1251,False,"{'a': 0.002, 'e': 0.0820849986238988}",20,0,27.12655929156596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1252,False,"{'a': 0.002, 'e': 0.08192099268725626}",25,13,12.094841345257167,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1253,False,"{'a': 0.002, 'e': 0.08175731443469375}",30,8,6.5803928893079195,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
1254,False,"{'a': 0.002, 'e': 0.08159396321149794}",25,12,24.233920613720738,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1255,False,"{'a': 0.002, 'e': 0.08143093836426381}",20,1,14.57361512891792,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1256,False,"{'a': 0.002, 'e': 0.08126823924089167}",20,10,15.014055349267908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1257,False,"{'a': 0.002, 'e': 0.0811058651905849}",35,7,32.49098948684562,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
1258,False,"{'a': 0.002, 'e': 0.08094381556384699}",25,12,26.228229609311935,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1259,False,"{'a': 0.002, 'e': 0.08078208971247929}",35,19,26.94355120889966,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1260,False,"{'a': 0.002, 'e': 0.08062068698957811}",25,13,20.66288763108868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1261,False,"{'a': 0.002, 'e': 0.08045960674953244}",20,0,-13.50824063267738,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1262,False,"{'a': 0.002, 'e': 0.08029884834802099}",30,19,18.05997793218578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1263,False,"{'a': 0.002, 'e': 0.08013841114201005}",25,16,16.309509591015548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1264,False,"{'a': 0.002, 'e': 0.07997829448975048}",20,5,22.495880780389076,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1265,False,"{'a': 0.002, 'e': 0.07981849775077554}",20,14,10.7623542164449,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1266,False,"{'a': 0.002, 'e': 0.07965902028589801}",30,8,5.894207251102626,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
1267,False,"{'a': 0.002, 'e': 0.07949986145720786}",30,12,28.76664153088793,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1268,False,"{'a': 0.002, 'e': 0.0793410206280695}",20,8,18.204541964031723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1269,False,"{'a': 0.002, 'e': 0.07918249716311948}",30,6,17.494908133883015,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
1270,False,"{'a': 0.002, 'e': 0.07902429042826366}",25,11,23.244182204001593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1271,False,"{'a': 0.002, 'e': 0.07886639979067495}",30,17,28.941479569004525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
